Target Distance: 100, Step Size: 5
(x,y)=(-0.339401, 31.1199)
(x,y)=(4.65355, 31.3853)
(x,y)=(8.56461, 34.5003)
(x,y)=(11.0775, 30.1777)
(x,y)=(7.51859, 26.6656)
(x,y)=(4.21712, 22.9106)
(x,y)=(5.20604, 27.8118)
(x,y)=(8.50762, 24.0569)
(x,y)=(3.62947, 25.154)
(x,y)=(8.573, 25.9034)
(x,y)=(13.4698, 26.9141)
(x,y)=(10.442, 30.8932)
(x,y)=(8.12287, 35.3228)
(x,y)=(3.1729, 36.0284)
(x,y)=(-1.7239, 37.039)
(x,y)=(-5.91926, 34.3189)
(x,y)=(-6.55908, 29.36)
(x,y)=(-3.63803, 25.302)
(x,y)=(1.31195, 24.5965)
(x,y)=(6.21751, 23.6293)
(x,y)=(10.0446, 20.4116)
(x,y)=(7.15957, 24.4953)
(x,y)=(8.57788, 19.7007)
(x,y)=(6.02686, 24.001)
(x,y)=(1.88032, 21.207)
(x,y)=(6.52267, 19.35)
(x,y)=(6.72178, 14.354)
(x,y)=(6.3461, 9.36811)
(x,y)=(5.05559, 4.53752)
(x,y)=(9.10073, 1.59867)
(x,y)=(5.9, -2.2426)
(x,y)=(2.97908, -6.30071)
(x,y)=(7.68427, -7.99223)
(x,y)=(6.60859, -3.10931)
(x,y)=(7.55424, -8.01907)
(x,y)=(12.5417, -7.66531)
(x,y)=(9.01395, -4.12202)
(x,y)=(6.53946, 0.222738)
(x,y)=(1.57253, -0.351335)
(x,y)=(3.85237, -4.80131)
(x,y)=(4.18391, 0.187683)
(x,y)=(6.73479, 4.48803)
(x,y)=(2.23539, 6.66872)
(x,y)=(0.357704, 11.3028)
(x,y)=(5.30123, 12.0521)
(x,y)=(4.83735, 7.07371)
(x,y)=(-0.0845368, 6.19333)
(x,y)=(4.15823, 8.83887)
(x,y)=(0.219755, 5.75855)
(x,y)=(-3.43122, 9.17475)
(x,y)=(0.424089, 12.3586)
(x,y)=(4.36266, 9.27835)
(x,y)=(3.67883, 14.2314)
(x,y)=(4.40618, 19.1782)
(x,y)=(5.04615, 14.2193)
(x,y)=(1.24771, 17.4707)
(x,y)=(1.40243, 22.4683)
(x,y)=(4.60327, 18.6272)
(x,y)=(7.80411, 14.786)
(x,y)=(6.77184, 9.89371)
(x,y)=(5.6099, 14.7568)
(x,y)=(7.85013, 19.2269)
(x,y)=(3.02534, 17.9149)
(x,y)=(-1.19385, 15.2319)
(x,y)=(-2.56966, 10.4249)
(x,y)=(0.279089, 6.31579)
(x,y)=(-4.70839, 6.6694)
(x,y)=(-1.64553, 2.71733)
(x,y)=(3.19068, 3.98659)
(x,y)=(-0.931059, 6.817)
(x,y)=(0.822928, 2.13475)
(x,y)=(3.98952, 6.0042)
(x,y)=(0.857302, 2.10687)
(x,y)=(2.77593, -2.51036)
(x,y)=(5.87354, 1.41454)
(x,y)=(2.91669, 5.44654)
(x,y)=(5.39105, 9.79137)
(x,y)=(0.671079, 11.4412)
(x,y)=(-4.24285, 12.3649)
(x,y)=(-9.23033, 12.7186)
(x,y)=(-8.32832, 17.6365)
(x,y)=(-9.14328, 22.5697)
(x,y)=(-11.1432, 17.987)
(x,y)=(-10.0677, 22.87)
(x,y)=(-6.24061, 19.6523)
(x,y)=(-5.51326, 24.5991)
(x,y)=(-2.88665, 28.8536)
(x,y)=(-0.606801, 24.4037)
(x,y)=(-5.31193, 22.712)
(x,y)=(-2.91487, 27.0999)
(x,y)=(-1.16088, 22.4177)
(x,y)=(0.172331, 27.2367)
(x,y)=(-3.79335, 30.2819)
(x,y)=(-8.70728, 31.2056)
(x,y)=(-13.5435, 32.4748)
(x,y)=(-16.4285, 36.5585)
(x,y)=(-20.4209, 33.5484)
(x,y)=(-25.3177, 34.559)
(x,y)=(-26.7784, 39.3408)
(x,y)=(-26.9333, 44.3384)
(x,y)=(-29.4078, 48.6832)
(x,y)=(-33.8062, 46.3054)
(x,y)=(-31.9287, 50.9395)
(x,y)=(-28.0176, 54.0546)
(x,y)=(-26.9421, 58.9376)
(x,y)=(-25.4816, 63.7195)
(x,y)=(-23.8526, 68.4467)
(x,y)=(-19.731, 71.2772)
(x,y)=(-20.0184, 66.2855)
(x,y)=(-16.1073, 69.4006)
(x,y)=(-21.1024, 69.1794)
(x,y)=(-16.2147, 68.1254)
(x,y)=(-11.3899, 66.8136)
(x,y)=(-13.5508, 71.3225)
(x,y)=(-13.3517, 66.3265)
(x,y)=(-17.7073, 63.8712)
(x,y)=(-13.7963, 66.9863)
(x,y)=(-18.6931, 67.9969)
(x,y)=(-17.7042, 72.8981)
(x,y)=(-18.6497, 67.9883)
(x,y)=(-23.6338, 67.5904)
(x,y)=(-20.6771, 71.6225)
(x,y)=(-25.4654, 70.183)
(x,y)=(-30.1554, 71.9161)
(x,y)=(-30.3103, 76.9137)
(x,y)=(-29.5829, 81.8605)
(x,y)=(-27.1086, 86.2054)
(x,y)=(-22.1586, 86.9111)
(x,y)=(-17.9632, 84.1911)
(x,y)=(-12.9702, 84.4566)
(x,y)=(-8.02026, 83.7511)
(x,y)=(-4.85366, 87.6206)
(x,y)=(-2.81325, 92.1853)
(x,y)=(-1.56555, 97.0271)
(x,y)=(1.35549, 92.9691)
(x,y)=(-0.725241, 97.5156)
(x,y)=(2.37236, 101.44)
The .Test: After 222 steps, the subject has the following locations:
(x,y)=(2.37236, 101.44)
 or
(m,a) = (101.468, 1.54741)
Average outward distance per step = 0.457064
(x,y)=(-0.7275, 4.94679)
(x,y)=(3.89818, 6.84497)
(x,y)=(-0.0129742, 9.95991)
(x,y)=(-3.24769, 13.7726)
(x,y)=(-6.09631, 9.66343)
(x,y)=(-4.678, 4.86881)
(x,y)=(-4.12592, -0.100616)
(x,y)=(-6.8273, -4.30805)
(x,y)=(-10.6257, -1.05661)
(x,y)=(-6.94468, -4.44036)
(x,y)=(-3.20429, -7.75842)
(x,y)=(-8.20116, -7.58158)
(x,y)=(-7.86963, -2.59258)
(x,y)=(-3.58069, -0.0225596)
(x,y)=(0.357886, -3.10276)
(x,y)=(-2.91033, -6.88677)
(x,y)=(1.02824, -9.96698)
(x,y)=(4.61806, -6.48658)
(x,y)=(7.20704, -10.7641)
(x,y)=(4.28612, -14.8222)
(x,y)=(6.72206, -19.1887)
(x,y)=(11.6781, -19.8504)
(x,y)=(8.72122, -15.8184)
(x,y)=(9.18525, -20.7969)
(x,y)=(8.7653, -15.8145)
(x,y)=(10.6429, -11.1804)
(x,y)=(14.0104, -14.8763)
(x,y)=(15.4287, -19.671)
(x,y)=(19.9659, -17.5701)
(x,y)=(17.5687, -13.1823)
(x,y)=(12.8943, -14.9569)
(x,y)=(8.79785, -17.8239)
(x,y)=(5.33337, -14.2187)
(x,y)=(7.0042, -18.9312)
(x,y)=(8.71653, -14.2336)
(x,y)=(8.25265, -19.212)
(x,y)=(11.8116, -22.724)
(x,y)=(9.49248, -18.2943)
(x,y)=(9.91228, -13.312)
(x,y)=(9.71333, -18.308)
(x,y)=(9.47001, -13.3139)
(x,y)=(12.0209, -9.0136)
(x,y)=(10.9022, -13.8868)
(x,y)=(10.8358, -8.88729)
(x,y)=(10.7694, -3.88773)
(x,y)=(14.1694, -0.221672)
(x,y)=(18.725, 1.83906)
(x,y)=(21.9934, -1.94486)
(x,y)=(17.7505, 0.700557)
(x,y)=(22.738, 1.05432)
(x,y)=(19.8893, -3.05486)
(x,y)=(15.0763, -1.70033)
(x,y)=(11.7748, -5.45536)
(x,y)=(12.9798, -10.308)
(x,y)=(7.99934, -9.86616)
(x,y)=(5.41049, -14.1438)
(x,y)=(8.64509, -10.331)
(x,y)=(12.0126, -14.0269)
(x,y)=(16.0315, -11.0522)
(x,y)=(20.7799, -9.48606)
(x,y)=(20.316, -14.4645)
(x,y)=(18.9402, -19.2715)
(x,y)=(18.2564, -14.3185)
(x,y)=(13.2581, -14.4512)
(x,y)=(8.66671, -12.4716)
(x,y)=(13.5886, -13.3518)
(x,y)=(15.4252, -18.0023)
(x,y)=(11.7742, -14.5861)
(x,y)=(7.0399, -16.1942)
(x,y)=(12.0303, -16.5037)
(x,y)=(16.656, -14.6055)
(x,y)=(16.7666, -19.6043)
(x,y)=(21.6805, -18.6804)
(x,y)=(16.7001, -18.2385)
(x,y)=(13.5334, -14.3692)
(x,y)=(18.4302, -13.3584)
(x,y)=(13.8929, -11.2577)
(x,y)=(18.8598, -11.8316)
(x,y)=(19.7184, -16.7574)
(x,y)=(17.6778, -12.1927)
(x,y)=(13.1222, -10.1321)
(x,y)=(8.7449, -7.71565)
(x,y)=(10.9057, -3.20664)
(x,y)=(9.40283, -7.97545)
(x,y)=(10.0865, -3.02241)
(x,y)=(14.5859, -0.84159)
(x,y)=(19.0658, -3.06202)
(x,y)=(23.7243, -1.24602)
(x,y)=(28.5823, -0.0625677)
(x,y)=(31.3944, 4.07166)
(x,y)=(36.3504, 3.4099)
(x,y)=(31.9106, 1.11038)
(x,y)=(31.8442, 6.10994)
(x,y)=(36.8442, 6.10994)
(x,y)=(32.6013, 8.75536)
(x,y)=(33.849, 13.5972)
(x,y)=(33.4291, 18.5795)
(x,y)=(31.3885, 23.1442)
(x,y)=(28.6131, 18.9852)
(x,y)=(33.2388, 20.8834)
(x,y)=(32.2933, 15.9736)
(x,y)=(35.142, 11.8645)
(x,y)=(39.6021, 14.1246)
(x,y)=(43.9578, 11.6695)
(x,y)=(44.4657, 16.6437)
(x,y)=(39.8921, 14.6233)
(x,y)=(36.3332, 11.1113)
(x,y)=(33.201, 7.21398)
(x,y)=(30.0688, 3.31665)
(x,y)=(31.2305, 8.1798)
(x,y)=(26.2307, 8.13554)
(x,y)=(26.7828, 3.16612)
(x,y)=(22.343, 0.866598)
(x,y)=(22.0113, 5.85558)
(x,y)=(20.3823, 10.5828)
(x,y)=(23.6838, 6.82783)
(x,y)=(28.5311, 5.60157)
(x,y)=(31.7992, 9.38568)
(x,y)=(30.2122, 4.64422)
(x,y)=(27.0115, 0.802944)
(x,y)=(24.1992, 4.93709)
(x,y)=(27.7582, 1.42516)
(x,y)=(31.9049, -1.36866)
(x,y)=(29.7043, -5.85837)
(x,y)=(24.728, -6.34443)
(x,y)=(25.3679, -11.3033)
(x,y)=(29.1374, -8.01837)
(x,y)=(34.1372, -8.06248)
(x,y)=(37.3381, -11.9037)
(x,y)=(32.7467, -9.92403)
(x,y)=(27.7662, -9.48218)
(x,y)=(31.5066, -12.8002)
(x,y)=(30.6482, -17.726)
(x,y)=(31.9388, -22.5565)
(x,y)=(36.9371, -22.6892)
(x,y)=(33.1675, -19.4043)
(x,y)=(32.7475, -14.422)
(x,y)=(31.4997, -9.58022)
(x,y)=(36.4871, -9.22645)
(x,y)=(40.6826, -11.9464)
(x,y)=(36.0403, -13.8036)
(x,y)=(32.3, -17.1218)
(x,y)=(27.8399, -14.8618)
(x,y)=(26.678, -9.99865)
(x,y)=(31.6074, -9.16187)
(x,y)=(28.4407, -5.29252)
(x,y)=(32.2678, -8.51021)
(x,y)=(35.7322, -4.90491)
(x,y)=(38.1292, -0.516966)
(x,y)=(33.7954, 1.9766)
(x,y)=(29.8569, -1.10372)
(x,y)=(34.8444, -0.74996)
(x,y)=(35.1319, -5.74169)
(x,y)=(36.6769, -0.986367)
(x,y)=(36.1249, -5.95581)
(x,y)=(36.7649, -10.9147)
(x,y)=(41.3205, -8.85396)
(x,y)=(37.4935, -12.0718)
(x,y)=(39.5339, -7.50704)
(x,y)=(39.6446, -12.5058)
(x,y)=(42.4201, -16.6647)
(x,y)=(44.6604, -12.1946)
(x,y)=(45.3003, -17.1535)
(x,y)=(50.1583, -15.9701)
(x,y)=(51.7454, -20.7115)
(x,y)=(46.9091, -19.4423)
(x,y)=(50.56, -16.026)
(x,y)=(45.5837, -16.5121)
(x,y)=(49.6026, -13.5374)
(x,y)=(52.8034, -17.3786)
(x,y)=(57.8016, -17.5112)
(x,y)=(57.9564, -12.5136)
(x,y)=(57.8015, -7.51601)
(x,y)=(58.6163, -2.58285)
(x,y)=(61.573, 1.44924)
(x,y)=(61.5066, 6.4488)
(x,y)=(64.3915, 10.5326)
(x,y)=(59.4246, 9.95853)
(x,y)=(54.4951, 10.7952)
(x,y)=(57.9913, 7.22078)
(x,y)=(55.3272, 2.98967)
(x,y)=(57.9915, -1.24135)
(x,y)=(60.0319, 3.32338)
(x,y)=(64.8898, 4.50683)
(x,y)=(63.514, -0.300156)
(x,y)=(66.7486, 3.51264)
(x,y)=(67.1684, 8.49498)
(x,y)=(63.285, 5.34543)
(x,y)=(63.793, 10.3196)
(x,y)=(62.206, 5.5781)
(x,y)=(58.7737, 1.94228)
(x,y)=(60.2766, -2.82648)
(x,y)=(61.309, -7.71873)
(x,y)=(57.0662, -5.07332)
(x,y)=(52.847, -7.75631)
(x,y)=(57.8139, -8.33023)
(x,y)=(52.9777, -7.06112)
(x,y)=(56.3123, -3.33545)
(x,y)=(56.9522, -8.29432)
(x,y)=(61.6866, -9.90229)
(x,y)=(56.7249, -9.28443)
(x,y)=(53.8399, -5.20072)
(x,y)=(58.8397, -5.24482)
(x,y)=(56.2887, -0.944551)
(x,y)=(53.9306, -5.35354)
(x,y)=(57.5512, -8.80193)
(x,y)=(61.4346, -11.9514)
(x,y)=(61.4567, -16.9513)
(x,y)=(57.2376, -19.6343)
(x,y)=(52.294, -18.8851)
(x,y)=(48.5831, -15.534)
(x,y)=(44.3878, -18.2541)
(x,y)=(49.386, -18.3867)
(x,y)=(49.4081, -23.3867)
(x,y)=(44.7994, -25.3257)
(x,y)=(42.0981, -29.5332)
(x,y)=(38.3872, -26.1821)
(x,y)=(36.3065, -21.6357)
(x,y)=(31.8666, -23.9352)
(x,y)=(26.9611, -24.9025)
(x,y)=(28.7563, -20.2359)
(x,y)=(33.0452, -17.6659)
(x,y)=(32.0997, -22.5757)
(x,y)=(30.981, -27.449)
(x,y)=(34.2494, -31.2329)
(x,y)=(29.9379, -33.7648)
(x,y)=(34.9361, -33.8974)
(x,y)=(39.9265, -34.2069)
(x,y)=(37.9266, -38.7895)
(x,y)=(40.0072, -34.2429)
(x,y)=(42.1281, -38.7708)
(x,y)=(46.8333, -40.4624)
(x,y)=(44.8738, -35.8623)
(x,y)=(40.5848, -33.2924)
(x,y)=(45.584, -33.2039)
(x,y)=(45.7388, -28.2063)
(x,y)=(40.7624, -28.6923)
(x,y)=(42.7217, -24.0922)
(x,y)=(39.694, -20.1132)
(x,y)=(40.8989, -24.9658)
(x,y)=(44.2005, -28.7208)
(x,y)=(48.6804, -30.9412)
(x,y)=(44.0547, -29.0431)
(x,y)=(44.0327, -34.0431)
(x,y)=(43.3489, -29.0901)
(x,y)=(45.1855, -33.7406)
(x,y)=(47.1855, -38.3231)
(x,y)=(51.4516, -40.9309)
(x,y)=(46.4641, -40.5772)
(x,y)=(41.469, -40.7985)
(x,y)=(46.3746, -41.7657)
(x,y)=(41.4778, -40.7551)
(x,y)=(39.6001, -36.121)
(x,y)=(35.0265, -38.1414)
(x,y)=(31.7917, -34.3287)
(x,y)=(36.3103, -36.4694)
(x,y)=(40.936, -34.5713)
(x,y)=(38.6956, -30.1013)
(x,y)=(34.2557, -32.4008)
(x,y)=(38.9901, -34.0088)
(x,y)=(43.2094, -36.6916)
(x,y)=(42.6575, -41.6611)
(x,y)=(45.0157, -46.07)
(x,y)=(47.6423, -41.8155)
(x,y)=(48.1064, -46.7939)
(x,y)=(48.7463, -51.7528)
(x,y)=(51.774, -47.7737)
(x,y)=(46.9058, -48.9141)
(x,y)=(51.4795, -50.9343)
(x,y)=(51.9435, -55.9127)
(x,y)=(51.6561, -60.9044)
(x,y)=(53.9752, -56.4747)
(x,y)=(57.2433, -52.6906)
(x,y)=(57.2213, -57.6906)
(x,y)=(62.0343, -56.3359)
(x,y)=(59.6761, -60.7449)
(x,y)=(54.681, -60.9661)
(x,y)=(50.0896, -58.9865)
(x,y)=(45.3996, -57.2534)
(x,y)=(46.6473, -52.4115)
(x,y)=(44.9766, -57.1242)
(x,y)=(40.1294, -58.3506)
(x,y)=(35.2154, -57.4268)
(x,y)=(33.1347, -52.8803)
(x,y)=(31.1753, -48.2803)
(x,y)=(35.0863, -45.1652)
(x,y)=(37.4053, -40.7355)
(x,y)=(34.0379, -44.4315)
(x,y)=(31.7582, -48.8815)
(x,y)=(27.4244, -46.388)
(x,y)=(32.2717, -47.6142)
(x,y)=(30.4352, -52.2648)
(x,y)=(35.4194, -52.6625)
(x,y)=(35.4856, -47.663)
(x,y)=(40.4838, -47.7956)
(x,y)=(45.1424, -45.9796)
(x,y)=(49.6223, -48.2)
(x,y)=(47.1478, -43.8552)
(x,y)=(50.7068, -47.3672)
(x,y)=(55.6685, -46.7492)
(x,y)=(59.9574, -44.1791)
(x,y)=(61.9575, -48.7617)
(x,y)=(62.4215, -53.7401)
(x,y)=(59.5729, -57.8493)
(x,y)=(57.3723, -62.339)
(x,y)=(52.4504, -63.2194)
(x,y)=(51.2456, -68.072)
(x,y)=(56.1956, -67.3663)
(x,y)=(61.1516, -68.028)
(x,y)=(66.0735, -68.9083)
(x,y)=(61.7845, -66.3384)
(x,y)=(63.4968, -61.6407)
(x,y)=(65.6575, -57.1317)
(x,y)=(64.1124, -52.3765)
(x,y)=(61.0847, -48.3974)
(x,y)=(65.2063, -45.5669)
(x,y)=(67.2872, -50.1133)
(x,y)=(67.4863, -55.1093)
(x,y)=(64.674, -50.9752)
(x,y)=(59.9256, -49.4092)
(x,y)=(63.2602, -45.6835)
(x,y)=(61.0596, -50.1732)
(x,y)=(65.6152, -48.1125)
(x,y)=(60.6535, -47.4946)
(x,y)=(65.1135, -45.2345)
(x,y)=(61.2866, -48.4523)
(x,y)=(63.5664, -52.9023)
(x,y)=(65.9635, -48.5143)
(x,y)=(68.2433, -52.9643)
(x,y)=(66.91, -48.1454)
(x,y)=(61.954, -48.8073)
(x,y)=(64.6925, -44.6239)
(x,y)=(59.9304, -46.148)
(x,y)=(59.0283, -41.2301)
(x,y)=(62.3958, -44.926)
(x,y)=(67.3721, -45.4119)
(x,y)=(63.8133, -48.9239)
(x,y)=(66.1715, -53.3328)
(x,y)=(68.0081, -57.9833)
(x,y)=(63.0363, -57.4534)
(x,y)=(64.4968, -52.6714)
(x,y)=(65.2681, -57.6116)
(x,y)=(67.1047, -62.2621)
(x,y)=(62.8387, -64.87)
(x,y)=(67.1276, -62.2999)
(x,y)=(71.0387, -59.1849)
(x,y)=(66.483, -57.1243)
(x,y)=(65.4507, -62.0166)
(x,y)=(68.115, -66.2476)
(x,y)=(66.486, -61.5204)
(x,y)=(71.4529, -62.0943)
(x,y)=(69.5753, -57.4603)
(x,y)=(64.9495, -55.5623)
(x,y)=(63.9173, -60.4545)
(x,y)=(67.4449, -56.9111)
(x,y)=(63.886, -60.4232)
(x,y)=(60.1164, -57.1384)
(x,y)=(64.0275, -54.0233)
(x,y)=(61.2152, -49.8892)
(x,y)=(64.6152, -46.2231)
(x,y)=(68.5538, -49.3033)
(x,y)=(63.5555, -49.4361)
(x,y)=(67.4666, -46.321)
(x,y)=(64.1319, -42.5954)
(x,y)=(69.0989, -43.1694)
(x,y)=(67.5961, -47.9382)
(x,y)=(69.0566, -43.1562)
(x,y)=(73.252, -45.8762)
(x,y)=(75.4128, -41.3672)
(x,y)=(76.4883, -36.4843)
(x,y)=(81.4881, -36.5284)
(x,y)=(85.139, -33.1121)
(x,y)=(82.4374, -28.9048)
(x,y)=(78.9096, -25.3615)
(x,y)=(79.1528, -20.3674)
(x,y)=(76.3405, -16.2333)
(x,y)=(80.8961, -14.1725)
(x,y)=(85.2077, -16.7044)
(x,y)=(88.6721, -13.0991)
(x,y)=(85.8598, -8.96492)
(x,y)=(85.6608, -13.961)
(x,y)=(89.3716, -10.6098)
(x,y)=(88.9959, -15.5957)
(x,y)=(93.1426, -18.3895)
(x,y)=(98.0645, -19.2697)
(x,y)=(97.6888, -24.2556)
The .Test: After 386 steps, the subject has the following locations:
(x,y)=(97.6888, -24.2556)
 or
(m,a) = (100.655, -0.243373)
Average outward distance per step = 0.260764
(x,y)=(-2.84863, -4.10918)
(x,y)=(1.48513, -1.61548)
(x,y)=(-2.48055, 1.42974)
(x,y)=(-7.18568, -0.261926)
(x,y)=(-3.38734, 2.98963)
(x,y)=(-2.39842, 7.89086)
(x,y)=(0.936159, 11.6165)
(x,y)=(-3.21039, 8.82258)
(x,y)=(-7.95883, 10.3886)
(x,y)=(-4.39985, 6.87665)
(x,y)=(-1.5511, 2.76756)
(x,y)=(2.33233, -0.381883)
(x,y)=(0.131755, -4.87159)
(x,y)=(1.12068, 0.0296407)
(x,y)=(4.91902, 3.28119)
(x,y)=(3.92995, 8.18239)
(x,y)=(5.2206, 3.35184)
(x,y)=(1.56963, 6.76804)
(x,y)=(-3.37391, 7.51728)
(x,y)=(-4.62176, 12.3591)
(x,y)=(-0.266023, 9.90396)
(x,y)=(-1.68419, 5.10929)
(x,y)=(-6.64018, 4.44738)
(x,y)=(-11.6019, 5.06525)
(x,y)=(-9.28285, 9.49494)
(x,y)=(-6.11625, 13.3644)
(x,y)=(-10.6719, 15.425)
(x,y)=(-15.6482, 14.9389)
(x,y)=(-20.4613, 16.2935)
(x,y)=(-24.7273, 13.6856)
(x,y)=(-22.1764, 17.9859)
(x,y)=(-18.2653, 21.101)
(x,y)=(-13.6566, 19.1621)
(x,y)=(-18.6235, 18.588)
(x,y)=(-14.4281, 15.868)
(x,y)=(-18.8882, 18.128)
(x,y)=(-16.6083, 13.678)
(x,y)=(-21.0277, 16.0166)
(x,y)=(-21.0497, 11.0167)
(x,y)=(-17.4907, 7.50475)
(x,y)=(-20.923, 3.86893)
(x,y)=(-24.7784, 7.05262)
(x,y)=(-19.9536, 5.74075)
(x,y)=(-20.241, 0.749011)
(x,y)=(-18.1604, 5.29556)
(x,y)=(-19.236, 10.1785)
(x,y)=(-16.917, 14.6082)
(x,y)=(-19.802, 18.6919)
(x,y)=(-23.453, 22.1081)
(x,y)=(-24.268, 27.0412)
(x,y)=(-29.0927, 25.7292)
(x,y)=(-34.0832, 25.4196)
(x,y)=(-34.238, 30.4172)
(x,y)=(-30.0426, 27.6972)
(x,y)=(-29.932, 22.6985)
(x,y)=(-25.5547, 25.115)
(x,y)=(-26.3258, 20.1749)
(x,y)=(-30.7031, 22.5913)
(x,y)=(-29.2426, 27.3732)
(x,y)=(-28.8228, 32.3556)
(x,y)=(-25.974, 28.2465)
(x,y)=(-28.2537, 23.7965)
(x,y)=(-29.9244, 19.0838)
(x,y)=(-31.0431, 14.2106)
(x,y)=(-30.4472, 19.1749)
(x,y)=(-26.2045, 21.8205)
(x,y)=(-27.9169, 26.5181)
(x,y)=(-29.4198, 21.7493)
(x,y)=(-26.571, 17.6402)
(x,y)=(-24.9421, 22.3674)
(x,y)=(-24.6106, 27.3564)
(x,y)=(-20.7835, 24.1387)
(x,y)=(-25.0495, 21.5308)
(x,y)=(-27.0089, 26.1309)
(x,y)=(-28.9274, 21.5136)
(x,y)=(-33.9243, 21.6905)
(x,y)=(-33.1095, 26.6236)
(x,y)=(-38.0899, 27.0655)
(x,y)=(-36.461, 31.7927)
(x,y)=(-34.6658, 36.4593)
(x,y)=(-34.5111, 41.4569)
(x,y)=(-30.7127, 44.7085)
(x,y)=(-26.2527, 46.9686)
(x,y)=(-22.6937, 43.4566)
(x,y)=(-27.6867, 43.7219)
(x,y)=(-32.6585, 44.2519)
(x,y)=(-35.8593, 40.4106)
(x,y)=(-34.5686, 35.58)
(x,y)=(-32.3679, 31.0904)
(x,y)=(-28.2714, 28.2236)
(x,y)=(-33.0722, 26.8264)
(x,y)=(-28.2039, 25.6861)
(x,y)=(-30.6011, 30.074)
(x,y)=(-25.6956, 29.1068)
(x,y)=(-23.859, 24.4563)
(x,y)=(-28.125, 21.8484)
(x,y)=(-32.5444, 24.187)
(x,y)=(-28.8633, 20.8033)
(x,y)=(-29.6783, 25.7364)
(x,y)=(-34.5922, 26.6602)
(x,y)=(-29.7792, 28.0148)
(x,y)=(-25.6081, 30.772)
(x,y)=(-29.1042, 27.1975)
(x,y)=(-34.0712, 26.6234)
(x,y)=(-37.7521, 23.2396)
(x,y)=(-32.7529, 23.3281)
(x,y)=(-30.8754, 27.9622)
(x,y)=(-33.614, 32.1454)
(x,y)=(-29.4186, 29.4255)
(x,y)=(-24.5937, 28.1136)
(x,y)=(-29.131, 30.2143)
(x,y)=(-24.1875, 30.9637)
